,descrip,price,envio,ciudad,otro1,otro2,benef,disponibles,stock,official,ventas,infoVentas,atencion,entrega,ventas,nopiniones,calificacion,vendedor,ubicacion,reviews,marca,modelo,descripcionExt
0,Bota Seguridad Liviana Gm Poliuretano Dielectrica Injectada,61.000,Envío a nivel nacional,Conoce los tiempos y las formas de envío,talla:,"talla:
Seleccione una opción
Al 78% le calzó como esperaba","Compra Protegida, recibe el producto que esperabas o te devolvemos tu dinero.",(67 disponibles),Hay stock disponible,,"970
ventas en los últimos 4 meses.","970
ventas en los últimos 4 meses.",,"970
ventas en los últimos 4 meses.","970
ventas en los últimos 4 meses.",5 opiniones,4,¿Qué quieres saber?,"Suba, Bogotá D.C.",78%,"Marca
GM
Modelo
GM01",Género Hombre,"DESCRIPCIÓN

- Botas de seguridad bajo la Norma NTC ISO20345
- Calzado eléctricamente aislante (dieléctrico)

- CAPELLADA: Corte elaborado en cuero Mocasín, cuero semi graso, calibre 1,8 -2,0 mm.
- SUELA: Poliuretano (PU), Liviana, confortable, caracterizada por ser Resistente a Hidrocarburos (R.H.) y Dieléctrica (D.E.)
- PUNTERA DE SEGURIDAD: Plástica, Dieléctrica y extra liviana, resistente al impacto noma EN 12568
- FORROS: Capellada: tela no tejida en fibra de poliéster 2 mm. Protege el pie del contacto con la puntera, Lateral: tela poliéster con espuma de 5 mm. Proporciona confort.
- OJALETES: Plástico con arandela, diámetro interno 3/16""
- CORDONES: Poliéster, trenzado redondo con puntera de acetano. Longitud 1,00 mm.
- COSTURAS: Hilo continuo de nylon de alta tenacidad, No. 20, excelente recuperación elástica, resistente a la humedad y a la abrasión. Resistencia 8900 cN. 1cN (CENTINIWTON)= 1,02 Gramos fuerza.
- PLANTILLA: Lamina EVA de 2 mm bondeada con tela poliéster.
- ALTURA: 4,5 +/- 1/4 pulgadas.
- PESO PROMEDIO: 960 gramos por par

Descuentos para distribuidores y mayoristas

RECUERDA: Te ofrecemos mercado envíos y si son compras mayores a $70000 son sin costo, la opción También se puede retirar en persona aplica únicamente para BOGOTÁ.

Las prendas modificadas, (Corte, costuras, bordados o estampados) PIERDEN LA GARANTÍA

Las fotos son referencia, en caso de necesitar factura se expide cuenta de cobro en mercado libre somos régimen simplificado."
1,Bota En Cuero Alvines Tipo Brahma Militar Cocidas Negra Moda,69.900,Envío a nivel nacional,Conoce los tiempos y las formas de envío,talla:,"talla:
Seleccione una opción
Guía de tallas
Al 100% le calzó como esperaba","Compra Protegida, recibe el producto que esperabas o te devolvemos tu dinero.",(679 disponibles),Hay stock disponible,,"864
ventas en los últimos 4 meses.","864
ventas en los últimos 4 meses.",,"864
ventas en los últimos 4 meses.","864
ventas en los últimos 4 meses.",13 opiniones,4,¿Qué quieres saber?,"Chapinero, Bogotá D.C.",100%,"Marca
Alvines
Modelo
Alvines",Género Hombre,"SOMOS DISTRIBUIDORES DIRECTOS!!

Botas para dama y caballero 100% en cuero graso.

CARACTERÍSTICAS.

- Cuero graso de alta calidad.
- Suela cocida y vulcanizada Antideslizante.
- Hilos gruesos para mayor durabilidad.
- Acolchadas en el tobillo para mayor protección.

TALLAS

- del 34 al 43

COLORES

- Negra
- Café

APROVECHA EL PRECIO Y LA COMODIDAD DE LAS BOTAS ALVINES!"
2,Bota En Cuero Alvines Tipo Brahma,69.900,Envío a nivel nacional,Conoce los tiempos y las formas de envío,talla:,"talla:
Seleccione una opción
Guía de tallas
Al 96% le calzó como esperaba","Compra Protegida, recibe el producto que esperabas o te devolvemos tu dinero.",(814 disponibles),Hay stock disponible,,"864
ventas en los últimos 4 meses.","864
ventas en los últimos 4 meses.",,"864
ventas en los últimos 4 meses.","864
ventas en los últimos 4 meses.",21 opiniones,4,¿Qué quieres saber?,"Chapinero, Bogotá D.C.",96%,"Marca
Alvines
Modelo
Alvines",Género Hombre,"SOMOS DISTRIBUIDORES DIRECTOS!!

Botas para dama y caballero 100% en cuero graso.

CARACTERÍSTICAS.

- Cuero graso de alta calidad.
- Suela cocida y vulcanizada Antideslizante.
- Hilos gruesos para mayor durabilidad.
- Acolchadas en el tobillo para mayor protección.

TALLAS

- del 34 al 43

COLORES

- Negra
- Café

APROVECHA EL PRECIO Y LA COMODIDAD DE LAS BOTAS ALVINES!"
3,Botas Dakar Negra Pvc Impermeable Moto Motociclistas,35.800,Llega hoy,Solo en zonas de Bogotá,talla:,"talla:
37
38
39
40
41
42
Guía de tallas
Al 73% le calzó como esperaba","Compra Protegida, recibe el producto que esperabas o te devolvemos tu dinero.",(12 disponibles),Hay stock disponible,,"1840
ventas en los últimos 4 meses.","1840
ventas en los últimos 4 meses.",,"1840
ventas en los últimos 4 meses.","1840
ventas en los últimos 4 meses.",55 opiniones,5,¿Qué quieres saber?,"Puente Aranda, Bogotá D.C.",73%,"Género
Hombre",,"Ante la lluvia no hay mejor opción que contar con unas Botas Impermeables Dakar para Moto, las cuales son fabricadas en PVC y garantizan 100% de impermeabilidad. Ideales para motociclistas y a un precio accesible. Disponibles para envío a Bogotá, Medellín, Cali, Valle del Cauca, Barranquilla, Bucaramanga.
-
Características:
• Botas 100% Impermeables, ideales para motociclistas
• Proceso: Doble inyección de PVC
• Forro: Media en nylon texturizado tejido en rizo para dar confort
• Color: Negro
• Suela: Excelente agarre que le permite resistir el deslizamiento.
• Auto limpiante con diseño anti-impacto en el tacón
• Usos: Motociclismo y actividades generales
-
Libre de sustancias nocivas STANDARD 100 por la OEKO-TEX®
Con un tacón absorbente de energía, esta bota brinda mayor comodidad y su diseño ergonómico evita la fatiga del motociclista.
Su suela antideslizante proporciona un excelente agarre en las superficies más resbaladizas, lo que reduce el riesgo de caídas.
-
Disponibilidad Inmediata
Tallas: 37-38-39-40-41-42

Medidas en cm. por talla (medida interna de la bota):
• Talla 37= 24.5 cm
• Talla 38= 25.3 cm
• Talla 39= 26 cm
• Talla 40= 26.6 cm
• Talla 41= 27.3 cm
• Talla 42= 28.1 cm
-
Envíos:
Realizamos envios a nivel nacional
-
Garantía:
Todos nuestros productos son nuevos, de la mejor calidad y con garantías de 3 meses por defectos de fabrica."
4,Botas Seguridad Dotación Dieléctricas Punta De Seguridad,54.900,Envío a nivel nacional,Conoce los tiempos y las formas de envío,talla:,"talla:
38
39
40
41
42
43
Al 100% le calzó como esperaba","Compra Protegida, recibe el producto que esperabas o te devolvemos tu dinero.",(418 disponibles),Hay stock disponible,,"333
ventas en los últimos 4 meses.","333
ventas en los últimos 4 meses.",,"333
ventas en los últimos 4 meses.","333
ventas en los últimos 4 meses.",4 opiniones,5,¿Qué quieres saber?,"Santa Fe, Bogotá D.C.",100%,"Marca
Terrano
Modelo
820",Género Hombre,"Bota de Seguridad
suela gris antideslizante
dieléctrica con puntera de seguridad
Suela inyectada en poliuretano resistente hidrocarburos
cuero mocazin curtido al cromo
ojalete policarbonato no conductivo
lengueta en material sintetico
dureza de la suela 50 a 55 shore A"
5,"Zapato Hombre,bota Clarks,casual",79.900,Envío gratis a nivel nacional,Conoce los tiempos y las formas de envío,talla:,"talla:
Seleccione una opción
Guía de tallas
Al 95% le calzó como esperaba","Compra Protegida, recibe el producto que esperabas o te devolvemos tu dinero.",(7 disponibles),Hay stock disponible,,"551
ventas en los últimos 4 meses.","551
ventas en los últimos 4 meses.",,"551
ventas en los últimos 4 meses.","551
ventas en los últimos 4 meses.",14 opiniones,4,¿Qué quieres saber?,"Cúcuta, Norte De Santander",95%,"Marca
Otras Marcas
Modelo
Bota",Género Hombre,"!BIENVENIDOS A NUESTRA TIENDA ONLINE! en nuestro campo de preguntas puedes PREGUNTAR todo lo que desees para solucionar cualquier duda o confirmar DISPONIBILIDAD

ATENCIÓN : a la hora de elegir la talla ten en cuenta que las tallas publicadas son NACIONALES no son en EUR *

TEN EN CUENTA: cuando se efectúe la compra se pondrá a tu disposición nuestro número de TELÉFONO, WHATSAPP, para que tengas una atención mas ¡PERSONALIZADA!


MEDIOS DE PAGO:

*MERCADO PAGO *
TODAS LAS TARJETAS DE CRÉDITO
TODAS LAS TARJETAS DÉBITO


ENVÍOS: HACEMOS ENVÍOS GRATIS A TODO EL PAÍS CON SERVICIO A DOMICILIO.

TIEMPO DE ENTREGA:
CIUDADES PRINCIPALES DE UNO A DOS DÍAS MÁXIMO
A NIVEL NACIONAL DE DOS HASTA 4 DÍAS DEPENDE UBICACIÓN

GARANTÍA...
*TODAS TUS COMPRAS ESTÁN 100% PROTEGIDAS POR MERCADO PAGO,
*NUESTROS PRODUCTOS SON DE LA MEJOR CALIDAD.
*3 MESES DE GARANTÍA POR PEGADO Y COSTURA .
*CUALQUIER INQUIETUD CON GUSTO LE ATENDEREMOS


ATENCIÓN: encuentra mas diseños en mas publicaciones del vendedor

!RECUERDE! para el proceso de garantía o cambio, es indispensable que primero se comunique a el número de celular que aparece en los datos del vendedor GRACIAS POR PREFERIRNOS..."
6,"Botas Para Hombre Tennis, De Cuero Y Fondo Entero Tennis",209.900,Entrega a acordar con el vendedor,"Envigado, Antioquia",talla: 40,talla: 40,"Compra Protegida, recibe el producto que esperabas o te devolvemos tu dinero.",(3 disponibles),Hay stock disponible,Tienda oficial de Mercado Libre,,,,,,,,¿Qué quieres saber?,,,"Género
Hombre",,"INFORMACIÓN Botas para hombre Tennis, de cuero y fondo entero. Color: CAFE. Hecho en material: FORRO/LINING: 100% POLIESTER/POLYESTER CAPELLADA/UPPER: 100% CUERO VACUNO/COW LEATHER PLANTILLA/INSOLE: 50% ETILVINILACETATO/ETHYLENEVINYLACETATE 50% POLIURETANO/POLYURETHANE SUELA/OUTSOLE: 100% PLASTICO/PLASTIC MATERIAL FORRO/LINING: 100% POLIESTER/POLYESTER CAPELLADA/UPPER: 100% CUERO VACUNO/COW LEATHER PLANTILLA/INSOLE: 50% ETILVINILACETATO/ETHYLENEVINYLACETATE 50% POLIURETANO/POLYURETHANE SUELA/OUTSOLE: 100% PLASTICO/PLASTIC SILUETA"
7,Bota Seguridad Kondor Indiana Mundial 209580,117.500,Llega gratis hoy,Solo en zonas de Bogotá,talla:,"talla:
Seleccione una opción
Al 94% le calzó como esperaba","Compra Protegida, recibe el producto que esperabas o te devolvemos tu dinero.",(303 disponibles),Hay stock disponible,,"208
ventas en los últimos 4 meses.","208
ventas en los últimos 4 meses.",,"208
ventas en los últimos 4 meses.","208
ventas en los últimos 4 meses.",26 opiniones,4,¿Qué quieres saber?,"Barrios Unidos, Bogotá D.C.",94%,"Marca
KONDOR INDIANA
Modelo
209580 MUNDIAL",Género Hombre,"CARACTERÍSTICAS DEL CALZADO

COLOR: NEGRA
CAPELLADA, LATERALES, TALONERA, PÁJAROS: MICROPIEL. FICHA TÉCNICA F Altura Total seis pulgadas

A). PUNTERA No metálica.
B). PLANTILLA En material espumado de 2.5 mm. y recubierto en poliéster algodón
C). CORDONES Redondos, en Poliéster ? Algodón.
D). CONTRAFUERTE Tela no tejida. Mezcla de poliéster y resinas acrílicas.
E). CUELLO En material espumado con forro textil.
F). LENGUETA Tipo Fuelle, en material sintético de base textil, forrada internamente.
G). OJALETES: Plásticos, no conductores de electricidad
H). SUELA Poliuretano, bicolor, bidensidad . Resistente a hidrocarburos, dieléctrica, alta resistencia a la abrasión y flexible. Recubriendo la puntera para menor desgaste.

Vida útil; Seis meses de uso, en el ambiente de trabajo para el cual fue diseñado el calzado."
8,"Botas Para Mujer Marca Tennis, Sinteticas Y Fondo Entero Ten",239.900,Entrega a acordar con el vendedor,"Envigado, Antioquia",talla:,"talla:
35
36
37
38
39
40","Compra Protegida, recibe el producto que esperabas o te devolvemos tu dinero.",(37 disponibles),Hay stock disponible,Tienda oficial de Mercado Libre,,,,,,,,¿Qué quieres saber?,,,,,"INFORMACIÓN Botas para mujer marca Tennis, de cuero y fondo entero. Color: CAFE. Hecho en material: FORRO/LINING: 90% POLIURETANO/POLYURETHANE 10% POLIESTER/POLYESTER EXTERIOR/SHELL: 100% CUERO VACUNO/COW LEATHER PLANTILLA/INSOLE: 100% POLIURETANO/POLYURETHANE TACÓN/HEEL: 100% MADERA/WOOD SUELA/OUTSOLE: 90% NEOLITE/NEOLITE 10% CAUCHO/RUBBER MATERIAL FORRO/LINING: 90% POLIURETANO/POLYURETHANE 10% POLIESTER/POLYESTER EXTERIOR/SHELL: 100% CUERO VACUNO/COW LEATHER PLANTILLA/INSOLE: 100% POLIURETANO/POLYURETHANE TACÓN/HEEL: 100% MADERA/WOOD SUELA/OUTSOLE: 90% NEOLITE/NEOLITE 10% CAUCHO/RUBBER SILUETA"
9,"Botas Para Mujer Tennis, De Cuero Y Fondo Entero Tennis",249.900,Entrega a acordar con el vendedor,"Envigado, Antioquia",talla:,"talla:
35
36
37
38
39
40
Guía de tallas","Compra Protegida, recibe el producto que esperabas o te devolvemos tu dinero.",(54 disponibles),Hay stock disponible,Tienda oficial de Mercado Libre,,,,,,,,¿Qué quieres saber?,,,,,"INFORMACIÓN Botas para mujer Tennis, de cuero y fondo entero. Color: CAFE. Hecho en material: FORRO/LINING: 90% POLIURETANO/POLYURETHANE 10% POLIESTER/POLYESTER CAPELLADA/UPPER: 100% CUERO VACUNO/COW LEATHER PLANTILLA/INSOLE: 100% POLIURETANO/POLYURETHANE TACÓN/HEEL: 100% MADERA/WOOD SUELA/OUTSOLE: 90% NEOLITE/NEOLITE 10% CAUCHO/RUBBER MATERIAL FORRO/LINING: 90% POLIURETANO/POLYURETHANE 10% POLIESTER/POLYESTER CAPELLADA/UPPER: 100% CUERO VACUNO/COW LEATHER PLANTILLA/INSOLE: 100% POLIURETANO/POLYURETHANE TACÓN/HEEL: 100% MADERA/WOOD SUELA/OUTSOLE: 90% NEOLITE/NEOLITE 10% CAUCHO/RUBBER SILUETA"
